imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
10040,http://www.imdb.com/title/tt0010040,Daddy-Long-Legs (1919),7.6,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4Mzc0MDczOF5BMl5BanBnXkFtZTgwNTUwNzYwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
10057,http://www.imdb.com/title/tt0010057,A Day's Pleasure (1919),6.8,Short|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwMDYyNTIyNV5BMl5BanBnXkFtZTgwNDM1NjkwMjE@._V1_UY268_CR12,0,182,268_AL_.jpg"
10071,http://www.imdb.com/title/tt0010071,Don't Change Your Husband (1919),7.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NjkzMjA5MF5BMl5BanBnXkFtZTcwMjI2MjEzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
10155,http://www.imdb.com/title/tt0010155,The Garage (1920),6.8,Short|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2MTQ1MDMyMF5BMl5BanBnXkFtZTcwMjI4MjkxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
10195,http://www.imdb.com/title/tt0010195,The Grim Game (1919),7,Adventure|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3OTg0MDUwNV5BMl5BanBnXkFtZTgwMjQyNzM2MzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
10208,http://www.imdb.com/title/tt0010208,Harakiri (1919),5.6,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NDg2MjM2N15BMl5BanBnXkFtZTgwMzUyMTY0MjE@._V1_UY268_CR4,0,182,268_AL_.jpg"
10247,http://www.imdb.com/title/tt0010247,Herr Arnes pengar (1919),7.1,Drama|History,"https://images-na.ssl-images-amazon.com/images/M/MV5BODM2MjkyNTQtNTAxMy00NjE3LTkzZDUtZTdhOTgyNmMzNTA2L2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
10267,http://www.imdb.com/title/tt0010267,The Hoodlum (1919),6.9,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjdhMmRkNDgtNzk3NS00OTcyLWEzMTUtZGFhNjE1NjVkMjdmXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_UX182_CR0,0,182,268_AL_.jpg"
10281,http://www.imdb.com/title/tt0010281,Ich m̦chte kein Mann sein (1918),7.1,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MjI3NTgzOF5BMl5BanBnXkFtZTgwMzY2Njk1MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
10307,http://www.imdb.com/title/tt0010307,J'accuse! (1919),7.3,Drama|Horror|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDVkN2JjODUtMmI5Yi00Yjk2LThkNjItY2I4NTNkYTg0NGMxXkEyXkFqcGdeQXVyNDMzNDQ4ODA@._V1_UX182_CR0,0,182,268_AL_.jpg"
10323,http://www.imdb.com/title/tt0010323,The Cabinet of Dr. Caligari (1920),8.1,Fantasy|Horror|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NzIxOTcxM15BMl5BanBnXkFtZTgwMjY0ODgwNzE@._V1_UY268_CR6,0,182,268_AL_.jpg"
10418,http://www.imdb.com/title/tt0010418,Male and Female (1919),7.9,Adventure|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzU4Mjg1Nl5BMl5BanBnXkFtZTgwMDE5MjAwMzE@._V1_UY268_CR2,0,182,268_AL_.jpg"
10726,http://www.imdb.com/title/tt0010726,"Die Spinnen, 1. Teil - Der Goldene See (1919)",6.6,Adventure|Western,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NjAyMzkxNF5BMl5BanBnXkFtZTgwODk2NDk0MjE@._V1_UY268_CR6,0,182,268_AL_.jpg"
