imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
88423,http://www.imdb.com/title/tt0088423,Siu Tai Gik (1984),6.5,Action|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjczMDc1NDUxOV5BMl5BanBnXkFtZTgwMDA5NjUzMTE@._V1_UY268_CR9,0,182,268_AL_.jpg"
88445,http://www.imdb.com/title/tt0088445,Zappa (1983),7.4,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMWQ2MDc1MzMtZDczYy00YjdmLWFlZmMtNGU3NmVmMzc5NTFhXkEyXkFqcGdeQXVyNDM0OTkxMzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
88454,http://www.imdb.com/title/tt0088454,Zombie Island Massacre (1984),2.7,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4Mjg2MzIyN15BMl5BanBnXkFtZTcwNTM5MzgzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
88461,http://www.imdb.com/title/tt0088461,What Have I Done to Deserve This? (1984),7.2,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDQ5ODA4MzIwOV5BMl5BanBnXkFtZTcwNTE5MTcyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
88466,http://www.imdb.com/title/tt0088466,��ke och hans v�_rld (1984),6.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2FmNWU0NzgtZTRkOS00MDIxLTkzZDQtYWM1OTgwNzkwMzEwXkEyXkFqcGdeQXVyNTM0MTI5MDA@._V1_UY268_CR111,0,182,268_AL_.jpg"
88611,http://www.imdb.com/title/tt0088611,Space,7.5,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDllNzRmODAtYzJlNS00MzliLWE5ZTAtZDc5ZDRiMWQ5ZjEwXkEyXkFqcGdeQXVyNDExOTIyNzU@._V1_UX182_CR0,0,182,268_AL_.jpg"
88650,http://www.imdb.com/title/tt0088650,28 Up (1984),8.3,Documentary|Biography,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2Mzg3MDgzOV5BMl5BanBnXkFtZTcwMTYyNTIyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
88658,http://www.imdb.com/title/tt0088658,A.K. (1985),7.2,Documentary|Biography|History,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MDY4MjU3NF5BMl5BanBnXkFtZTcwNDkxNDEyMQ@@._V1_UY268_CR19,0,182,268_AL_.jpg"
88678,http://www.imdb.com/title/tt0088678,The Adventures of Mark Twain (1985),7.6,Animation|Adventure|Family,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyMTU5NjI4OF5BMl5BanBnXkFtZTcwNDU0NzA3OA@@._V1_UY268_CR3,0,182,268_AL_.jpg"
88680,http://www.imdb.com/title/tt0088680,After Hours (1985),7.7,Comedy|Crime|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjEzMzI2MV5BMl5BanBnXkFtZTgwNTU3ODAxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
88683,http://www.imdb.com/title/tt0088683,Agnes of God (1985),6.6,Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BNmU2ZTYxZWUtYTVmMy00MmE0LWJjMmItYzcwNWY0MWZmNTJhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
88689,http://www.imdb.com/title/tt0088689,Alamo Bay (1985),6.1,Action|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWNiMGNjN2UtNzdiNS00NDBmLTg4ZjMtMDY1MjJlMDg0NjFkXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg"
88693,http://www.imdb.com/title/tt0088693,Alice in Wonderland (1985),7.4,Adventure|Family|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MzcyMzA3N15BMl5BanBnXkFtZTcwNzcwMzMzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
88701,http://www.imdb.com/title/tt0088701,Always (1985),5.7,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NTcxMDY3MF5BMl5BanBnXkFtZTcwNzY4MzUxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
88707,http://www.imdb.com/title/tt0088707,American Flyers (1985),6.4,Drama|Sport,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MDU2OTk0MF5BMl5BanBnXkFtZTcwODQ0NzgxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
88708,http://www.imdb.com/title/tt0088708,American Ninja (1985),5.4,Action|Adventure|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjcxMzc5ZWQtN2Y2OS00NGNiLWE4MDYtMzAyYWJkN2YyODliXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
88710,http://www.imdb.com/title/tt0088710,Amici miei - Atto III� (1985),6.3,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BODM2MDNiMmYtNTcyMS00ZGNjLWI3YjMtZjQ2NGVmNWQ1NzAxXkEyXkFqcGdeQXVyNDI4OTM1MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
88714,http://www.imdb.com/title/tt0088714,L'amour braque (1985),6.3,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MDY3NTM1MF5BMl5BanBnXkFtZTcwNTQ3Nzg3Mg@@._V1_UY268_CR7,0,182,268_AL_.jpg"
88727,http://www.imdb.com/title/tt0088727,Anne of Green Gables,8.4,Drama|Family,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDI4MjA2MzUxOV5BMl5BanBnXkFtZTcwNjE0MjE2MQ@@._V1._CR53,69,306,401_UY268_CR11,0,182,268_AL_.jpg"
88736,http://www.imdb.com/title/tt0088736,Area 88: The Blue Skies of Betrayal (1985),7.8,Animation|Action|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NjQ0MDYzM15BMl5BanBnXkFtZTcwMDM0OTIzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
